"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/colls/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/colls/list.csv?datainfo&rowcount&base_name=canis"
"Access Time","Fri 2017-03-24 06:32:50 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","canis"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0404"
"Records Found","607"
"Records Returned","607"
"Records:"
"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"19832","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 11-67)","","","1","Blancan","","4.9","1.8","1069"
"19836","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 19-65)","","","1","Blancan","","4.9","1.8","1069"
"19839","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 21-66)","","","1","Blancan","","4.9","1.8","1069"
"19847","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 33-64)","","","1","Blancan","","4.9","1.8","1069"
"19854","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 46-64)","","","1","Blancan","","4.9","1.8","1069"
"19868","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 70-65)","","","1","Blancan","","4.9","1.8","1069"
"19879","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 85-65)","","","1","Blancan","","4.9","1.8","1069"
"19888","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 101-65)","","","1","Blancan","","4.9","1.8","1069"
"19895","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 127-65)","","","1","Blancan","","4.9","1.8","1069"
"19902","col","Glenns Ferry","-114.900002","42.799999","Hagerman (USGS 19213)","","DWT 427","1","Blancan","","4.9","1.8","1069"
"19903","col","","-114.900002","42.799999","Hagerman (USGS 19216)","","DWT 431; UC V-5523; UO 2437","1","Blancan","","4.9","1.8","1883"
"19906","col","","-114.900002","42.799999","Hagerman (USGS 20765)","","DWT 540","1","Blancan","","4.9","1.8","1883"
"19913","col","","-118.000000","43.000000","Jackass Butte (UO 2404)","","","1","Blancan","","4.9","1.8","3118"
"19914","col","","-118.000000","43.000000","Flat Iron Butte","","","1","Blancan","","4.9","1.8","3632"
"19921","col","Glenns Ferry","-118.000000","43.000000","Birch Creek (Glenns Ferry Formation)","","","1","Blancan","","4.9","1.8","1814"
"19925","col","Rexroad","-100.300003","37.200001","Bender","","","1","Blancan","","4.9","1.8","1884"
"19927","col","Crooked Creek","-100.300003","37.200001","Borchers","","KU-MEA-009; Locality 9","1","Blancan","","4.9","1.8","1894"
"19929","col","Ballard","-100.300003","37.200001","Deer Park","","Rexroad Locality 1; KU Locality 25","1","Blancan","","4.9","1.8","1876"
"19932","col","Rexroad","-100.300003","37.200001","Keefe Canyon","","UK Locality 22","1","Blancan","","4.9","1.8","1905"
"19934","col","Rexroad","-100.300003","37.200001","Rexroad KU Locality 2","","","1","Blancan","","4.9","1.8","1894"
"19936","col","Rexroad","-100.300003","37.200001","Rexroad KU Locality 3","","","1","Blancan","","4.9","1.8","1894"
"19940","col","Rexroad","-100.483330","37.133331","Wendell Fox Pasture","","UM-K3-53; Wendell Fox Ranch","1","Blancan","","4.9","1.8","1896"
"19954","col","Long Pine","-98.234444","42.378334","Big Springs Gravel Pit","","UNSM Ap-103","2","Blancan","","4.9","1.8","3507"
"19955","col","","-103.099998","41.700001","Broadwater Locality A","","UNSM Mo-5, 6, 7","1","Blancan","","4.9","1.8","1008"
"19959","col","","-102.400002","41.400002","Lisco Locality B","","UNSM Gd-12","1","Blancan","","4.9","1.8","3073"
"19960","col","","-102.400002","41.400002","Lisco Locality C","","UNSM Gd-13, 14, 15","1","Blancan","","4.9","1.8","3073"
"19962","col","","-103.800003","41.799999","South Lake Alice","","UNSM Sf-106","1","Blancan","","4.9","1.8","3512"
"19963","col","","-100.000000","42.700001","Sand Draw Quarry","","UNSM Sand Draw locality; Frick Prospecting Locality 277; Magill; Owl Pellet; UM-Neb. sites 1-66, 2-66, 2-67, 4-67, 5-67, 1-68","2","Blancan","","4.9","1.8","2518"
"19965","col","Panaca","-114.300003","37.799999","Panaca Formation (Meadow Valley)","","Double Butte; Limestone Corner; Rodent Quarry; UALP locality 8197","1","Blancan","","4.9","1.8","2886"
"19973","col","Camp Rice","-106.699997","32.000000","Chamberino-Canutillo Sites","","","1","Blancan","","4.9","1.8","3378"
"19981","col","Camp Rice","-106.699997","32.000000","Tonuco Mountain","","DUPLICATE REF 2618 or 2619","1","Blancan","","4.9","1.8","2618"
"20023","col","Blanco","-101.099998","33.700001","Red Quarry","","TMM 31176; Meade's Quarry 6","1","Blancan","","4.9","1.8","1309"
"20033","col","","-101.633331","34.883331","Cita Canyon","","Evans and Meade Locality 4; UCMP V-3721; Harold Ranch; Harrell Ranch","2","Blancan","","4.9","1.8","2044"
"20034","col","","-102.500000","35.400002","Red Corral","","","1","Blancan","","4.9","1.8","3371"
"20050","col","Love","-105.199997","31.500000","Red Light (TMM 40664)","","","1","Blancan","","4.9","1.8","928"
"20060","col","","-100.916664","32.716667","Beck Ranch","","","1","Blancan","","4.9","1.8","6330"
"20062","col","Ringold","-118.500000","47.000000","Taunton","","LACM loc. 6048; UWBM A 9326","2","Blancan","","4.9","1.8","3382"
"20074","col","","-107.400002","28.500000","Minaca Mesa","","","1","Blancan","","4.9","1.8","2245"
"20105","col","Palm Spring","-117.099998","32.900002","Arroyo Seco (CU 37)","","","1","Blancan","","4.9","1.8","1186"
"20112","col","Palm Spring","-117.099998","32.900002","Arroyo Seco (CU 44)","","","1","Blancan","","4.9","1.8","1186"
"20113","col","Palm Spring","-117.099998","32.900002","Arroyo Seco (CU 45)","","","1","Blancan","","4.9","1.8","1186"
"20115","col","Palm Spring","-117.099998","32.900002","Vallecito Creek (CU 47)","","","1","Blancan","","4.9","1.8","1186"
"20117","col","Palm Spring","-117.099998","32.900002","Vallecito Creek (CU 49)","","","2","Blancan","","4.9","1.8","1186"
"20120","col","Palm Spring","-117.099998","32.900002","Vallecito Creek (CU 52)","","","2","Blancan","","4.9","1.8","1186"
"20121","col","Palm Spring","-117.099998","32.900002","Vallecito Creek (CU 53)","","","2","Blancan","","4.9","1.8","1186"
"20122","col","Palm Spring","-117.099998","32.900002","Vallecito Creek (CU 54)","","","2","Blancan","","4.9","1.8","1186"
"20123","col","Palm Spring","-117.099998","32.900002","Vallecito Creek (CU 55)","","","1","Irvingtonian","","1.8","0.3","1186"
"20126","col","Palm Spring","-117.099998","32.900002","Vallecito Creek (CU 58)","","","1","Irvingtonian","","1.8","0.3","1186"
"20127","col","Palm Spring","-117.099998","32.900002","Vallecito Creek (CU 59)","","","1","Irvingtonian","","1.8","0.3","1186"
"20129","col","Palm Spring","-117.099998","32.900002","Vallecito Creek (CU 61)","","","1","Irvingtonian","","1.8","0.3","1186"
"20130","col","Palm Spring","-117.099998","32.900002","Vallecito Creek (CU 62)","","","1","Irvingtonian","","1.8","0.3","1186"
"20134","col","Palm Spring","-117.099998","32.900002","Vallecito Creek (CU 66)","","","1","Irvingtonian","","1.8","0.3","1186"
"20137","col","Kingsdown","-100.495201","37.047699","Adams","","","1","Irvingtonian","","1.8","0.3","3081"
"20138","col","","-98.099998","40.200001","Albert Ahrens Locality","","UNSM No-104","1","Irvingtonian","","1.8","0.3","3514"
"20143","col","","-98.099998","40.200001","Angus","","UNSM No-101","2","Irvingtonian","","1.8","0.3","2419"
"20148","col","""Crooked Creek""","-100.900002","37.099998","Arkalon","","","1","Irvingtonian","","1.8","0.3","1870"
"20150","col","","-105.699997","39.299999","Badger Locality","","Badger Room; CM loc. 1928","3","Irvingtonian","","1.8","0.3","1022"
"20157","col","","-100.500000","36.799999","Berends","","","1","Irvingtonian","","1.8","0.3","3211"
"20166","col","Kingsdown","-100.477097","37.044701","Butler Spring (KU Locality 7)","","Cragin Quarry, in part","1","Irvingtonian","","1.8","0.3","3081"
"20173","col","""unnamed sandstone""","-117.000000","33.900002","California Oaks (SBCM 5.6.2)","","DUPLICATE REF 2893 or 2894","1","Irvingtonian","","1.8","0.3","2893"
"20178","col","""unnamed sandstone""","-117.000000","33.900002","California Oaks (SBCM 5.6.143)","","SBCM 05.006.143<br>DUPLICATE REF 2893 or 2894","1","Irvingtonian","","1.8","0.3","2893"
"20187","col","""unnamed sandstone""","-117.000000","33.900002","California Oaks (SBCM 5.6.155)","","SBCM 05.006.155<br>DUPLICATE REF 2893 or 2894","1","Irvingtonian","","1.8","0.3","2893"
"20205","col","""unnamed sandstone""","-117.000000","33.900002","California Oaks (SBCM 05.006.301)","","","1","Irvingtonian","","1.8","0.3","2725"
"20237","col","""unnamed sandstone""","-117.000000","33.900002","California Oaks (SBCM 05.006.384)","","","1","Irvingtonian","","1.8","0.3","2725"
"20273","col","Manix","-117.000000","34.799999","Camp Cady","","Lake Manix","2","Irvingtonian","","1.8","0.3","2016"
"20277","col","Cape Deceit","-161.899994","66.599998","Cape Deceit","","","1","Irvingtonian","","1.8","0.3","1764"
"20280","col","","-114.099998","39.000000","Cathedral Cave","","","1","Irvingtonian","","1.8","0.3","1054"
"20281","col","","-87.900002","34.700001","Cave ACb-3 Unit D","","","1","Irvingtonian","","1.8","0.3","2254"
"20283","col","Tacubaya","-102.300003","21.799999","Cedazo","","Arroyo Cedazo; Arroyo San Francisco","3","Irvingtonian","","1.8","0.3","2607"
"20285","col","""Chapala shorelake"" Beds","-103.199997","20.299999","Chapala","","","2","Irvingtonian","","1.8","0.3","1482"
"20289","col","","-82.070274","28.799168","Coleman IIA","","","1","Irvingtonian","","1.8","0.3","2436"
"20290","col","","-93.199997","36.000000","Conard Fissure","","","2","Irvingtonian","","1.8","0.3","1628"
"20293","col","","-98.099998","39.799999","Courtland Canal","","","1","Irvingtonian","","1.8","0.3","1462"
"20295","col","Kingsdown","-100.300003","37.200001","Cragin Quarry Locality 1","","Big Springs Loc. 1; KU Locality 6; USGS 21274","2","Irvingtonian","","1.8","0.3","1907"
"20297","col","","-147.800003","64.800003","Cripple Creek Sump","","","1","Irvingtonian","","1.8","0.3","2773"
"20299","col","Bermont","-82.199997","28.799999","Crystal River Power Plant","","","1","Irvingtonian","","1.8","0.3","2615"
"20301","col","""Crooked Creek""","-100.300003","37.200001","Cudahy","","Cudahy ash mine (UK Loc. 10); Sunbrite ash mine (UK Loc. 17)","1","Irvingtonian","","1.8","0.3","2741"
"20302","col","","-78.699997","39.599998","Cumberland Cave","","","5","Irvingtonian","","1.8","0.3","39868"
"20303","col","St. David","-110.199997","32.000000","Curtis Floss","","UA locality 25-2; ""Gidley Level"" in part; Curtis Ranch in part","1","Blancan","","4.9","1.8","2252"
"20308","col","Caloosahatchee","-81.821114","27.041668","De Soto Shell Pit","","","1","Irvingtonian","","1.8","0.3","2615"
"20319","col","San Timoteo","-117.000000","33.900002","El Casco","","SBCM 5.3.3; Site 350","1","Irvingtonian","","1.8","0.3","2887"
"20322","col","","-114.500000","31.700001","El Golfo de Santa Clara","","","2","Blancan","","4.9","1.8","2245"
"20323","col","La Habra","-117.800003","33.599998","Emery Borrow Pit","","LACM 3536, 3537, 4178, 7053, 7054, 7088, 7089; RCIC 47<br>DUPLICATE REF 2018 or 2019","1","Irvingtonian","Rancholabrean","1.8","0.012","2018"
"20327","col","Turlock Lake","-120.195831","37.056667","Fairmead Landfill","","UCMP V-93128","2","Irvingtonian","","1.8","0.3","1400"
"20329","col","","-105.699997","39.299999","Fissure Fill A","","","2","Irvingtonian","","1.8","0.3","949"
"20334","col","","-82.000000","26.900000","Forsberg Shell Pit","","","1","Irvingtonian","","1.8","0.3","2615"
"20335","col","","-117.000000","34.799999","Fort Irwin","","Artillery Range Number 10; SBCM 1.152.2<br>DUPLICATE REF 2018 or 2019","1","Irvingtonian","Rancholabrean","1.8","0.012","2018"
"20342","col","Seymour","-99.500000","33.750000","Gilliland","","","3","Irvingtonian","","1.8","0.3","1899"
"20346","col","","-147.800003","64.800003","Gold Hill","","","1","Irvingtonian","","1.8","0.3","2772"
"20347","col","","-102.500000","42.700001","Gordon Fossil Quarry (UNSM Sd-5)","","Gordon Quarry West; UNSM Sh-5","2","Irvingtonian","","1.8","0.3","1916"
"20351","col","","-82.099998","29.799999","Haile 21A","","","2","Irvingtonian","","1.8","0.3","2615"
"20360","col","Alamosa","-105.750000","37.366669","Hansen Bluff CT2","","Alamosa","1","Middle Pleistocene","","0.781","0.126","2939"
"20375","col","","-102.500000","42.700001","Hay Springs Fossil Quarry (UNSM Sd-1)","","UNSM Sh-1","1","Irvingtonian","","1.8","0.3","1916"
"20376","col","","-102.500000","42.700001","Hay Springs Fossil Quarry (UNSM Sd-2)","","","1","Irvingtonian","","1.8","0.3","1916"
"20384","col","","-82.680000","29.000000","Inglis IA","","Inglis 1A; UF locality CI001","1","Blancan","","4.9","1.8","3580"
"20387","col","","-122.000000","37.599998","Irvington","","UCMP V-3602, 3604, 3605","2","Irvingtonian","","1.8","0.3","3014"
"20398","col","","-82.199997","28.799999","Lecanto 2A","","","1","Rancholabrean","","0.3","0.012","2611"
"20400","col","Bermont","-82.500000","27.700001","Leisey Shell Pit 1A","","","2","Irvingtonian","","1.8","0.3","1960"
"20401","col","Bermont","-82.500000","27.700001","Leisey Shell Pit 1B","","","1","Irvingtonian","","1.8","0.3","1960"
"20415","col","","-82.599998","29.400000","McLeod Limerock Mine","","","1","Irvingtonian","","1.8","0.3","2615"
"20417","col","","-110.699997","50.099998","Medicine Hat Unit V","","","1","Irvingtonian","","1.8","0.3","1200"
"20419","col","","-80.500000","28.100000","Merritt Island","","","1","Irvingtonian","Rancholabrean","1.8","0.012","1546"
"20434","col","","-140.000000","68.199997","Old Crow River (Lower OCR 12)","","Unit 1b","1","Irvingtonian","","1.8","0.3","2048"
"20454","col","Pauba","-117.000000","33.900002","Pauba Formation (SBCM 05.006.378)","","General Kearney; SBCM 5.6.378","1","Irvingtonian","","1.8","0.3","2725"
"20477","col","","-105.699997","39.299999","The Pit","","CM loc. 1925","1","Irvingtonian","","1.8","0.3","1022"
"20479","col","","-75.300003","40.200001","Port Kennedy Cave","","","2","Irvingtonian","","1.8","0.3","1628"
"20491","col","","-82.300003","29.100000","Reddick IA","","","2","Rancholabrean","","0.3","0.012","3580"
"20494","col","Bermont","-82.199997","27.000000","Rigby Shell Pit","","","1","Irvingtonian","","1.8","0.3","2615"
"20495","col","","-109.650002","29.683332","Terapa","","Térapa; Río Moctezuma; Camel Bill","1","Rancholabrean","","0.3","0.012","19165"
"20498","col","Tule","-101.300003","34.500000","Rock Creek","","Equus scotti (Horse) Quarry; Evans and Meade Locality 6 (in part); Sloth-Camel (Mylodon-Camel) Quarry","2","Irvingtonian","","1.8","0.3","1899"
"20499","col","","-117.500000","43.599998","Rome Beds","","","1","Irvingtonian","","1.8","0.3","2499"
"20500","col","","-102.500000","42.700001","Rushville Quarry (UNSM Sd-3)","","Main Rushville Quarry; UNSM Sh-3","2","Irvingtonian","","1.8","0.3","1916"
"20501","col","","-102.500000","42.700001","Rushville Quarry (UNSM Sd-4)","","","2","Irvingtonian","","1.8","0.3","1916"
"20503","col","","-103.099998","43.799999","Salamander Cave","","Horse Room","1","Irvingtonian","","1.8","0.3","2549"
"20504","col","","-107.000000","36.500000","SAM Cave (Under Arch)","","NMMNH L-4395","1","Irvingtonian","","1.8","0.3","2940"
"20506","col","","-107.000000","36.500000","SAM Cave (Pink Solid)","","NMMNH L-43","1","Irvingtonian","","1.8","0.3","2940"
"20514","col","","-107.000000","36.500000","SAM Cave (Kathy's Pit)","","NMMNH L-43","1","Irvingtonian","","1.8","0.3","2940"
"20520","col","","-82.599998","29.700001","Santa Fe River IIA","","","1","Irvingtonian","","1.8","0.3","3567"
"20528","col","San Timoteo","-117.000000","33.900002","Shutt Ranch","","SBCM 5.3.64","1","Irvingtonian","","1.8","0.3","2887"
"20530","col","","-101.900002","33.700001","Slaton Quarry","","Evans and Meade Locality 14; UCMP V-5325","2","Irvingtonian","","1.8","0.3","1304"
"20532","col","","-79.300003","38.700001","Smilodon 2 Site","","Hamilton Cave","1","Irvingtonian","","1.8","0.3","3713"
"20536","col","St. David","-110.199997","32.000000","Stegomast","","UA locality 68131; Curtis Ranch in part","1","Irvingtonian","","1.8","0.3","2252"
"20537","col","","-100.900002","37.099998","Stout's Ranch","","","1","Irvingtonian","","1.8","0.3","1457"
"20556","col","","-96.000000","42.000000","Turin","","Turin Pit; Elliott Pit","2","Irvingtonian","","1.8","0.3","2896"
"20558","col","","-106.699997","32.000000","UTEP 97","","""T28S R3E""","1","Irvingtonian","","1.8","0.3","1794"
"20559","col","","-105.699997","39.299999","Velvet Room","","CM loc. 1927; Will's Hole","1","Irvingtonian","","1.8","0.3","1022"
"20567","col","""Meade""","-98.199997","39.000000","Wilson Valley","","KU Locality 4","1","Irvingtonian","","1.8","0.3","3799"
"20569","col","American Falls Lake Bed E","-112.900002","42.799999","American Falls Reservoir","","","2","Late Pleistocene","","0.126","0.0117","1936"
"20572","col","","-82.099998","29.799999","Arredondo IB","","","1","Late Pleistocene","","0.126","0.0117","3567"
"20573","col","Wicomico","-82.416664","29.600000","Arredondo IIA","","","1","Late Pleistocene","","0.126","0.0117","3580"
"20580","col","","-82.500000","27.500000","Bradenton (51st Street)","","","1","Late Pleistocene","","0.126","0.0117","3567"
"20590","col","Floral","-103.900002","50.799999","Fort Qu'Appelle","","Bliss Gravel Pit; Echo Lake","1","Late Pleistocene","","0.126","0.0117","1785"
"20593","col","","-82.099998","29.799999","Haile VIIA","","","1","Late Pleistocene","","0.126","0.0117","3567"
"20594","col","","-82.099998","29.799999","Haile VIIIA","","","1","Late Pleistocene","","0.126","0.0117","3567"
"20600","col","","-86.500000","39.000000","Harrodsburg Crevice","","","3","Late Pleistocene","","0.126","0.0117","2727"
"20612","col","","-112.900002","42.799999","Massacre Rocks","","IMNH 85002","1","Late Pleistocene","","0.126","0.0117","2501"
"20615","col","","-110.699997","50.099998","Medicine Hat Unit XIII","","","1","Late Pleistocene","","0.126","0.0117","1200"
"20617","col","","-105.000000","37.299999","Mesa de Maya","","","1","Late Pleistocene","","0.126","0.0117","1766"
"20619","col","","-110.199997","32.000000","Murray Springs Arroyo","","","2","Late Pleistocene","","0.126","0.0117","1793"
"20624","col","Palos Verdes Sand","-117.800003","33.599998","Newport Bay Mesa","","LACM  Locality 1066-1067, 1100, 1240, 3877","1","Rancholabrean","","0.3","0.012","2588"
"20626","col","","-140.000000","68.199997","Old Crow River Locality 44","","OCR 11 (upper)","1","Late Pleistocene","","0.126","0.0117","1784"
"20628","col","Palos Verdes Sand","-118.199997","34.000000","Pacific Avenue and Oliver Street","","LACM 186<br>DUPLICATE REF 2018 or 2019","1","Late Pleistocene","","0.126","0.0117","2018"
"20629","col","","-82.099998","29.799999","Payne's Prairie","","","1","Late Pleistocene","","0.126","0.0117","3567"
"20635","col","Floral","-106.699997","52.200001","Riddell","","","1","Late Pleistocene","","0.126","0.0117","3182"
"20636","col","","-81.449997","28.716667","Rock Springs (Pleistocene)","","Rock Spring","1","Late Pleistocene","","0.126","0.0117","3567"
"20638","col","","-82.199997","28.799999","Sabertooth Cave","","Lecanto Cave","1","Late Pleistocene","","0.126","0.0117","3567"
"20639","col","San Pedro Sand","-118.000000","34.000000","San Pedro Lumber Yard [San Pedro Sand]","","San Pedro Lumber Company, Hill number 48), San Pedro: LACM 1026, 1057 (? = LACM 187); (? UCMP 2047)","1","Late Pleistocene","","0.126","0.0117","2018"
"20641","col","","-111.199997","40.900002","Silver Creek Junction","","","2","Late Pleistocene","","0.126","0.0117","2589"
"20642","col","Riverbank","-121.500000","38.599998","Teichart Gravel Pit","","Teichert Gravel Quarry; UCMP V-69129, V-75126<br>DUPLICATE REF 2018 or 2019","2","Late Pleistocene","","0.126","0.0117","2018"
"20644","col","","-120.400002","36.099998","Tranquility","","UCMP V-44001<br>DUPLICATE REF 2018 or 2019","1","Late Pleistocene","","0.126","0.0117","2018"
"20646","col","Palos Verdes Sand","-118.199997","34.000000","U.S. Veterans Hospital","","LACM 3757<br>DUPLICATE REF 2018 or 2019","1","Late Pleistocene","","0.126","0.0117","2018"
"20653","col","","-82.199997","28.799999","Withlacoochee River VIIA","","","1","Late Pleistocene","","0.126","0.0117","3567"
"21276","col","","36.167000","-1.767000","Lainyamok - surface","","ETE Locality 72, Lainyamok - surface, ","3","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"21277","col","","36.167000","-1.767000","Lainyamok - excavation","","ETE Locality 73, Lainyamok - excavation, ","2","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"21294","col","Nachukui","35.792000","4.250000","West Turkana - Natoo region","","ETE Locality 91, Natoo region, ","1","Calabrian","","1.806","0.781","4454"
"21296","col","Nachukui","35.776001","4.176000","West Turkana - Kalochoro II","","ETE Locality 93, KL2, Kalochoro II, ","1","Calabrian","","1.806","0.781","4454"
"21302","col","Nachukui","35.724998","4.050000","West Turkana - Kangaki II","","ETE Locality 99, KG2, Kangaki II, ","1","Gelasian","","2.588","1.806","4454"
